temperature,humidity,soil_moisture,rainfall,rain_probability,forecast_temperature,forecast_humidity,pump_state
28.1,75.2,56.7,0.4,22,30.4,76.3,1
30.7,76.5,41.8,1.1,27,32.7,71.4,1
32.8,76.8,56.6,0.7,23,32.1,75.8,0
28.6,87.5,26.6,0.8,75,27.0,87.6,1
32.1,83.4,84.1,0.4,66,31.6,85.8,0
27.0,79.6,85.0,0.8,16,26.8,79.3,0
28.4,76.5,59.7,0.3,20,29.4,73.0,0
28.3,77.4,29.5,0.1,28,29.0,76.1,1
24.6,89.3,25.3,0.6,48,24.1,86.0,1
32.2,82.3,55.5,0.6,53,33.5,91.7,1
27.9,72.1,75.0,0.3,14,27.0,66.1,0
30.1,68.0,11.8,0.1,17,27.9,64.5,1
32.2,83.6,71.8,0.6,33,33.6,83.1,1
32.0,76.5,52.7,0.1,34,31.9,84.8,0
33.0,86.6,54.4,0.6,61,34.7,87.8,0
29.6,85.4,43.6,0.2,49,29.1,81.3,1
28.1,74.6,62.5,0.2,48,29.5,75.1,1
29.6,89.7,68.1,0.0,46,30.7,88.3,1
22.4,80.1,72.8,16.2,23,22.2,83.9,0
23.5,86.9,49.7,0.8,16,22.7,86.7,1
24.0,82.6,27.7,0.5,52,21.3,83.5,1
25.5,92.1,27.4,0.2,86,27.4,97.0,0
31.8,66.2,49.9,0.4,8,29.8,62.5,1
25.9,81.5,80.1,0.0,36,27.0,89.2,0
28.3,85.2,83.8,0.5,49,28.6,91.1,0
35.8,73.6,57.5,0.5,46,33.2,72.7,1
28.4,79.9,18.8,1.5,48,27.5,78.4,1
33.3,83.1,32.7,0.6,41,33.7,84.5,1
25.8,90.9,12.3,9.5,50,23.0,90.9,1
29.1,83.4,24.3,1.1,37,28.0,85.0,1
25.7,94.1,66.3,65.8,62,27.2,97.7,0
28.5,88.7,43.5,0.6,26,27.7,90.3,1
33.8,73.3,26.1,3.8,46,33.5,77.6,1
22.2,92.5,61.9,12.0,16,19.6,96.0,0
32.0,75.4,81.1,3.3,23,30.4,77.4,0
31.1,87.5,89.6,26.5,39,28.8,86.5,0
27.3,77.5,93.7,31.4,35,24.7,74.4,0
23.5,89.8,42.0,0.8,47,20.7,90.1,1
30.3,78.6,66.5,0.8,23,32.3,78.3,0
27.6,83.8,32.6,0.8,6,28.4,85.7,1
31.0,77.1,56.4,0.3,30,33.4,73.1,0
30.1,74.6,33.5,0.5,16,30.8,74.4,1
37.2,82.3,38.6,0.7,22,39.0,79.5,0
28.9,83.1,41.6,0.0,16,29.4,80.8,1
25.4,93.6,23.7,0.4,31,25.0,90.4,1
30.8,66.3,31.1,1.7,11,29.3,63.4,1
31.0,81.2,44.0,0.8,29,32.7,78.7,1
36.1,76.0,42.0,4.1,61,34.5,81.3,0
33.8,75.7,45.7,1.6,36,32.1,71.8,1
31.6,82.1,46.5,2.7,56,29.6,82.9,0
36.6,73.5,22.2,0.1,14,36.7,73.6,1
24.7,84.7,68.4,0.6,29,24.6,86.9,0
27.1,92.3,31.2,1.6,52,24.9,94.6,1
25.8,83.2,49.6,0.3,47,24.6,87.5,1
28.2,81.1,25.0,0.1,24,31.8,84.2,1
23.8,91.5,29.5,26.9,60,23.7,100.0,1
32.9,81.5,62.7,14.5,46,30.4,86.0,1
29.0,85.5,61.0,0.5,31,28.1,78.2,1
23.4,87.6,82.4,0.0,43,22.2,84.5,0
25.4,92.5,37.5,0.0,45,27.7,88.7,1
31.4,78.3,31.0,0.1,20,32.7,78.2,1
33.8,81.9,69.0,0.0,18,33.5,84.3,1
39.0,80.8,27.7,0.5,31,38.6,83.8,1
43.0,67.7,97.4,72.0,44,41.7,73.1,0
31.9,87.6,36.2,25.0,66,31.8,85.9,1
25.5,87.8,74.9,0.1,36,25.0,75.7,0
20.4,86.0,59.0,61.5,37,20.4,82.9,0
31.2,81.3,45.4,0.5,47,31.9,74.3,1
26.3,80.0,13.0,0.1,43,25.3,77.6,1
28.1,76.7,35.6,0.3,22,28.2,78.4,1
27.2,81.9,34.4,0.4,25,26.9,85.4,1
29.4,84.8,84.2,12.4,42,26.9,78.9,0
34.8,67.1,72.2,0.8,38,37.0,70.5,0
30.7,78.9,49.7,0.3,40,28.5,80.1,0
29.3,84.7,57.6,0.9,38,29.8,85.0,1
25.3,88.1,61.3,3.3,84,25.5,86.4,0
22.5,77.1,56.2,1.7,28,22.5,80.2,1
27.8,95.8,54.8,2.5,94,28.5,99.5,0
29.8,75.7,75.7,37.0,34,30.6,69.8,0
38.0,77.9,86.6,0.9,54,36.9,81.1,0
30.6,80.4,28.8,0.4,63,31.7,76.9,1
34.4,79.3,62.6,0.3,59,34.1,82.5,0
27.8,83.4,21.9,22.1,42,26.3,79.1,1
24.7,85.4,44.6,0.4,29,26.6,88.4,1
25.7,88.5,84.4,12.1,51,28.1,90.7,0
26.7,79.3,78.9,0.1,28,27.3,78.7,0
39.6,71.6,71.1,0.8,36,42.6,70.9,0
26.3,100.0,77.4,0.5,60,24.1,94.7,0
33.8,81.1,65.6,2.1,39,34.7,81.3,1
25.9,89.1,46.5,16.2,32,24.6,90.4,1
34.2,75.9,38.8,1.7,47,37.3,77.8,1
31.7,74.3,81.3,8.1,20,31.7,81.5,0
29.3,90.0,26.2,0.2,74,28.7,85.8,1
29.8,80.2,79.2,0.2,12,30.9,81.1,0
27.1,76.4,34.9,0.0,18,26.1,78.6,1
32.0,84.2,11.0,1.3,48,29.1,86.2,1
28.0,88.5,57.7,2.5,59,26.4,80.6,1
24.5,73.0,76.1,0.0,9,24.2,71.7,0
24.2,90.1,79.3,0.3,78,24.5,99.7,0
30.8,74.8,66.3,0.0,45,28.2,68.2,1
37.1,77.5,73.6,9.2,33,35.0,83.0,0
30.7,84.8,62.3,0.4,18,31.2,85.0,0
29.5,72.1,69.9,12.6,31,28.8,65.5,1
31.3,74.3,25.2,0.4,34,29.6,74.3,1
35.9,70.3,71.9,0.4,10,36.3,66.4,1
31.0,83.2,35.5,26.1,60,28.5,83.2,1
28.2,92.3,43.9,0.2,28,29.2,81.9,1
35.0,82.6,39.4,0.5,20,32.8,83.2,0
31.9,77.2,17.3,0.3,49,32.1,71.9,1
36.9,69.7,28.3,0.4,25,36.9,76.5,1
30.8,81.1,48.6,0.1,33,31.8,90.0,0
24.5,84.1,48.5,0.5,47,27.2,88.5,1
23.8,84.9,28.3,0.4,19,23.6,79.5,1
37.4,67.0,43.0,2.4,40,38.5,69.5,1
37.8,65.3,38.4,22.6,18,39.1,68.4,1
29.2,79.5,24.5,2.0,3,29.2,84.7,1
28.3,87.6,40.1,0.0,29,28.2,85.3,1
36.6,69.8,73.7,0.0,48,33.4,66.5,0
25.0,90.9,52.1,103.3,68,23.8,87.8,0
26.0,79.9,35.0,0.4,41,24.3,77.8,1
32.9,77.5,23.9,1.1,30,30.5,77.1,1
28.2,78.8,62.5,26.6,37,29.4,74.0,0
30.0,87.8,27.6,1.9,30,30.3,90.9,1
29.3,85.6,73.8,0.4,39,29.8,88.4,0
31.5,85.0,53.4,0.4,46,30.3,89.5,1
36.3,71.3,87.0,37.5,38,35.8,75.8,0
30.4,79.9,23.2,0.3,45,30.7,77.4,1
32.9,66.8,39.4,0.7,43,35.7,63.0,0
20.8,96.4,25.4,0.3,27,20.6,96.0,1
29.8,84.6,63.0,7.3,63,27.6,86.9,0
26.2,88.9,39.9,0.7,56,25.6,90.8,1
24.5,87.2,53.7,7.4,16,25.9,95.3,1
26.0,88.3,84.1,0.6,87,27.8,94.0,0
28.5,94.2,12.0,0.1,56,28.6,100.0,1
34.1,82.2,69.6,0.5,41,35.0,76.1,1
24.0,91.7,25.0,0.8,63,26.0,91.4,1
30.1,86.4,25.9,1.0,43,27.5,86.2,1
27.8,79.3,23.6,0.1,23,28.6,77.8,1
28.5,84.0,40.6,1.0,37,27.6,85.3,1
34.5,70.6,63.2,44.4,14,30.3,66.5,0
32.4,69.7,62.2,0.6,10,33.1,67.6,1
36.0,80.5,54.4,0.5,32,35.5,75.9,0
29.3,73.8,44.2,0.3,3,29.2,73.5,1
26.9,84.8,21.7,0.1,35,28.4,80.6,1
29.0,70.4,83.9,2.0,19,31.0,68.6,0
31.1,78.7,73.1,2.1,16,29.4,87.6,0
30.8,69.3,38.6,0.7,15,29.7,71.2,1
25.1,82.9,74.7,0.7,37,27.0,83.3,0
30.4,92.1,43.9,93.9,62,33.0,87.1,0
31.0,82.0,58.8,0.2,42,34.7,85.7,0
41.3,65.0,42.7,0.8,26,40.6,70.5,1
38.4,76.7,17.6,1.5,28,39.4,80.9,1
26.2,84.6,59.5,0.4,68,27.3,89.9,1
28.7,86.1,82.6,16.7,42,28.8,84.7,0
23.4,92.6,83.0,12.1,58,23.4,88.8,0
27.3,86.3,32.2,0.2,26,22.5,83.0,1
31.4,90.6,56.1,33.0,64,30.2,88.0,0
35.4,77.6,17.5,0.3,22,35.3,75.5,1
26.7,88.0,38.0,0.1,59,29.1,93.1,1
27.1,84.5,71.4,0.3,19,26.4,85.7,0
20.3,91.4,61.2,0.9,53,21.3,91.6,0
29.3,73.4,15.3,14.6,21,29.8,73.4,1
25.2,86.6,95.5,37.4,57,25.9,86.3,0
27.6,79.0,71.0,0.0,55,28.9,76.6,0
26.1,78.6,9.4,0.5,14,25.8,78.3,1
29.6,84.2,21.2,2.8,30,29.6,85.9,1
22.1,97.8,83.6,0.1,54,19.8,95.7,0
23.4,87.6,23.3,0.3,41,23.1,90.7,0
39.6,75.6,38.9,0.2,42,40.3,74.9,1
24.2,87.7,51.1,0.2,32,24.7,88.4,1
25.1,91.5,76.8,0.1,45,25.7,95.5,0
38.3,80.2,79.6,0.3,31,39.7,75.9,0
43.0,63.3,65.6,0.6,2,43.0,60.0,0
24.7,74.7,15.7,0.5,22,26.8,77.5,1
28.3,86.7,76.2,16.3,79,27.7,84.3,0
31.5,79.8,46.0,21.0,41,32.8,73.9,0
37.8,64.3,13.2,0.2,3,39.5,62.2,1
25.6,84.7,48.4,0.0,46,27.0,83.2,1
28.9,85.8,40.3,12.2,83,29.6,89.9,1
33.5,70.6,84.3,0.7,38,35.1,65.6,0
32.0,83.2,87.1,16.5,78,30.1,90.1,0
28.3,84.2,70.4,19.3,26,27.6,86.7,0
29.4,81.9,75.6,39.0,73,29.1,78.5,0
23.8,85.2,85.2,0.2,45,21.8,84.9,0
28.9,86.7,83.6,1.0,47,30.7,90.2,0
28.8,79.8,34.6,1.0,41,30.4,81.3,1
31.0,83.1,22.5,0.9,63,32.2,80.5,1
27.5,83.4,46.3,2.8,28,24.9,87.2,1
32.1,88.2,35.9,3.1,53,34.1,85.9,1
34.6,84.9,32.0,2.5,70,33.8,89.9,1
30.7,85.1,74.5,0.8,78,29.9,85.7,0
31.6,82.4,52.5,0.3,20,30.8,82.6,1
30.2,78.6,36.0,3.1,56,30.1,85.7,1
30.0,86.0,48.2,0.6,66,28.5,89.5,0
26.8,90.9,43.0,3.5,81,26.8,93.0,1
31.4,77.5,43.3,0.2,43,29.6,80.7,1
29.6,83.7,75.1,0.5,49,29.3,83.6,0
39.4,75.3,64.6,8.9,55,41.2,78.9,0
37.1,80.0,58.4,1.1,23,38.0,69.5,0
31.7,78.2,63.1,22.3,58,31.3,82.4,0
26.6,95.8,30.6,0.4,63,26.1,100.0,1
25.0,89.1,29.6,0.0,32,26.1,94.9,1
35.4,83.3,20.8,0.1,76,35.9,83.0,1
31.2,82.5,61.4,0.2,49,30.8,79.3,0
32.2,88.1,45.8,13.7,31,32.8,86.3,1
22.1,93.2,65.9,1.7,58,20.0,90.2,1
34.2,74.1,66.5,10.6,27,35.0,66.5,0
32.0,85.9,75.6,14.5,69,32.9,88.6,0
25.0,81.2,56.3,0.2,32,23.3,85.8,0
27.9,89.3,13.1,0.3,62,26.9,86.9,1
31.2,76.5,81.4,0.2,36,32.1,74.4,0
30.2,84.2,28.6,0.8,43,33.0,84.3,1
28.7,73.1,49.7,9.6,42,27.3,78.3,0
29.5,91.6,46.1,0.4,65,31.3,88.2,1
28.9,76.8,57.1,0.7,34,28.9,75.6,0
30.7,75.8,59.4,0.8,11,31.8,69.6,1
36.6,87.0,40.3,1.0,48,38.3,87.6,1
18.5,85.0,73.0,0.4,2,18.5,81.5,0
28.9,70.3,14.5,0.4,18,29.3,73.4,1
30.8,86.2,59.7,25.8,49,33.6,93.1,1
31.3,72.2,73.6,1.3,39,28.4,66.5,0
28.3,86.7,78.4,10.6,59,28.8,89.8,0
22.1,83.0,84.7,1.1,21,19.9,83.6,0
31.5,84.6,42.7,0.2,18,32.0,87.2,1
37.8,73.2,68.2,0.6,25,37.8,75.6,1
23.1,91.0,21.2,0.8,38,23.6,95.6,1
33.9,82.0,45.8,30.3,69,34.4,89.8,1
28.5,81.2,17.9,0.1,20,30.3,87.9,1
29.7,87.4,49.9,15.5,65,32.0,80.8,1
25.3,74.7,77.5,0.4,2,24.5,77.6,0
28.5,86.7,81.8,0.1,28,30.2,85.4,0
35.9,76.0,74.5,0.3,44,32.7,74.4,0
32.6,73.2,30.3,6.7,23,33.3,73.3,1
37.8,68.6,55.0,12.5,64,40.7,67.6,0
35.3,86.8,62.2,68.2,70,35.1,89.5,0
32.0,77.9,26.2,1.4,23,32.9,81.3,1
37.8,62.4,26.2,0.3,19,37.3,67.6,1
32.0,76.6,19.7,0.0,36,33.0,73.0,1
33.7,77.1,15.5,0.1,10,33.5,80.9,1
28.7,78.3,35.7,0.7,41,28.6,73.4,1
30.3,95.2,23.3,0.0,81,30.8,95.7,1
26.9,94.2,28.2,0.4,42,28.9,91.2,1
34.5,79.9,38.8,1.1,24,35.7,82.3,1
24.7,91.8,44.3,0.6,42,21.8,92.2,1
33.5,73.2,79.6,0.5,54,33.6,77.5,0
29.1,81.7,72.1,0.1,38,29.6,72.8,0
35.3,83.8,55.5,27.4,83,35.9,77.4,0
33.4,78.3,59.1,1.8,7,35.8,76.7,1
38.2,80.4,53.5,6.9,46,37.9,80.7,1
33.3,76.4,56.5,37.8,54,33.4,79.0,1
22.9,99.4,25.1,12.8,68,23.7,100.0,1
29.7,87.9,36.8,0.2,62,32.0,96.6,1
24.7,91.1,25.5,1.9,36,23.6,87.6,1
27.7,70.5,68.1,0.1,14,26.8,65.4,0
36.8,77.1,32.1,6.9,45,36.6,78.3,1
32.9,71.8,64.9,41.7,15,35.8,63.6,0
26.9,95.1,21.2,20.0,51,27.9,92.6,1
25.4,88.2,74.5,1.8,21,25.4,87.4,0
30.1,95.3,50.2,11.0,92,30.1,100.0,1
24.5,84.7,70.9,0.2,17,25.0,81.1,0
27.0,87.0,76.6,0.2,57,23.6,88.9,0
31.4,75.2,20.3,0.4,28,30.6,65.6,1
35.2,71.3,43.8,0.6,18,35.4,68.6,0
32.7,85.9,34.9,0.1,78,35.4,88.5,1
19.7,89.4,32.2,0.3,8,20.1,86.8,1
31.4,70.9,53.5,2.3,44,32.9,72.9,0
30.3,85.7,81.6,38.5,48,31.6,85.9,0
31.9,77.5,90.7,17.2,56,32.2,85.2,0
37.3,76.7,24.0,10.4,30,36.4,76.8,1
20.7,93.2,57.8,0.9,29,21.6,92.4,1
27.3,75.6,68.9,0.0,34,28.6,74.3,0
32.7,74.0,50.1,0.1,42,31.5,73.5,1
22.9,90.0,16.4,0.0,61,25.2,91.6,1
36.6,70.7,56.6,0.1,22,36.5,64.7,0
31.7,79.5,41.3,0.5,24,29.9,73.8,1
33.8,79.6,78.7,2.3,70,32.1,76.6,0
27.4,95.2,43.5,7.5,58,29.1,96.2,1
33.7,80.0,84.2,0.2,72,33.7,79.8,0
34.8,65.7,60.0,0.2,38,35.0,59.4,0
31.0,82.5,64.8,0.7,56,31.1,85.1,1
31.1,83.8,81.7,0.5,82,32.3,75.0,0
31.2,89.3,10.2,0.1,71,33.8,96.5,1
26.1,94.6,72.2,0.8,27,29.7,98.9,0
29.3,68.2,52.6,0.1,18,29.8,66.9,0
29.3,86.6,45.2,2.0,73,28.1,87.6,1
31.7,89.0,19.6,6.4,76,30.6,83.3,1
34.5,76.0,61.6,0.1,39,33.0,80.4,1
25.2,82.0,40.0,0.7,23,22.7,88.9,1
29.4,87.0,44.8,0.2,58,31.7,86.9,1
36.7,71.0,19.4,0.7,27,37.7,70.7,1
26.7,84.0,38.8,0.6,61,27.4,83.3,1
26.3,80.6,51.8,0.1,7,25.5,73.7,1
30.9,75.9,69.7,2.0,33,29.2,79.9,0
33.8,75.6,27.1,0.1,21,34.8,73.0,1
30.1,82.3,65.2,22.3,75,29.6,85.0,0
36.0,70.8,26.6,1.0,33,36.7,74.1,1
33.9,74.4,59.0,0.5,24,35.7,77.6,1
33.8,72.9,65.7,0.1,51,33.9,69.8,0
32.5,74.5,19.6,0.4,46,31.2,69.6,1
40.5,65.8,21.1,0.7,32,41.0,63.0,1
29.1,84.9,79.3,26.1,24,31.3,81.3,0
21.0,83.2,68.7,0.1,36,20.4,84.5,0
37.2,75.7,54.5,15.8,48,37.5,85.6,0
27.9,79.1,34.4,7.9,38,30.5,78.9,1
30.5,74.1,28.9,0.1,28,30.7,81.6,1
35.9,61.2,44.8,0.4,7,35.3,63.2,1
22.8,92.4,22.8,0.9,34,21.6,93.7,1
24.4,89.8,33.9,1.0,64,25.5,86.9,1
22.8,91.1,16.1,0.2,24,22.0,87.4,1
26.4,83.7,75.4,0.7,41,27.5,81.7,0
32.0,65.9,49.3,53.2,4,33.7,64.7,0
32.4,81.3,28.2,19.1,43,32.8,81.8,1
31.2,73.2,35.7,1.0,35,31.1,67.9,1
23.6,79.4,77.8,11.3,56,23.0,72.4,0
19.6,90.9,27.0,36.8,64,19.4,88.4,0
30.2,76.4,56.4,16.3,33,28.5,81.4,0
27.9,88.1,76.8,0.4,61,25.6,86.4,0
32.1,76.4,54.5,5.1,39,29.9,82.4,0
33.2,73.7,57.9,2.7,16,34.7,74.8,0
30.6,84.5,55.2,1.1,53,29.5,82.3,0
33.4,67.8,44.4,1.1,31,31.6,68.6,1
31.0,70.4,69.8,1.2,11,28.8,70.0,0
32.4,75.2,89.5,0.5,48,32.1,72.1,0
26.8,78.9,16.6,1.2,55,27.3,80.9,1
29.2,87.0,29.0,0.8,21,32.4,88.7,1
30.9,84.0,22.4,0.3,38,30.4,78.0,1
33.7,81.4,46.5,0.2,26,31.1,79.1,1
28.2,80.9,18.4,0.6,40,25.5,78.4,1
32.3,78.3,20.5,3.3,64,35.4,82.4,1
28.8,77.2,56.3,5.8,69,27.5,72.4,0
29.5,86.6,25.2,0.4,38,28.7,87.4,1
33.7,73.2,69.6,2.4,33,37.8,70.2,1
21.0,95.4,74.0,6.9,49,19.4,98.2,0
24.2,93.2,43.5,3.6,62,25.2,89.9,1
23.3,85.2,59.9,1.7,12,25.0,86.3,0
19.5,94.9,37.4,9.8,70,18.8,98.6,1
26.9,83.3,66.7,0.3,9,27.4,79.4,0
33.4,71.7,62.0,0.4,24,34.7,66.4,0
28.7,76.6,47.7,1.0,27,28.4,67.5,1
30.9,80.9,73.8,0.4,37,32.8,81.6,0
34.9,68.2,49.5,1.2,35,37.7,68.4,0
36.0,68.7,44.8,12.0,33,34.3,70.8,1
29.7,84.8,31.3,0.8,54,29.0,86.0,1
36.1,66.4,20.1,0.9,26,39.2,65.5,1
30.4,79.6,35.4,73.5,21,32.3,82.1,1
26.2,79.2,57.7,0.4,20,26.8,75.5,0
27.3,84.0,67.5,0.3,31,25.9,86.7,0
23.3,73.2,34.6,1.4,3,25.0,78.5,1
26.0,84.5,70.1,0.9,15,24.5,90.4,1
28.4,86.6,12.8,0.3,33,27.2,86.6,1
33.6,81.8,44.8,0.4,47,31.0,75.0,1
37.7,75.5,87.9,5.8,38,40.7,73.2,0
23.8,89.2,43.0,24.6,14,25.5,86.9,1
31.8,70.5,16.8,0.4,10,32.3,71.8,1
25.3,86.6,57.3,0.4,55,27.8,78.5,1
32.1,73.0,66.5,0.6,30,29.2,71.4,0
29.4,73.2,31.6,0.6,44,26.7,73.3,1
21.8,93.7,72.1,0.3,45,25.2,89.0,0
34.2,76.8,35.1,12.9,33,34.4,76.6,1
27.3,83.9,67.5,0.5,31,26.1,78.1,0
27.6,85.3,33.1,0.5,56,27.0,95.1,1
25.2,86.5,27.5,0.4,31,22.0,79.5,1
27.1,88.1,35.1,0.3,69,28.6,82.8,1
31.9,66.6,22.5,0.4,7,30.7,68.0,1
29.1,78.9,49.4,1.0,23,26.2,77.1,1
31.5,77.7,51.1,0.0,22,30.6,78.3,0
31.6,86.5,71.8,12.1,78,30.9,96.6,0
35.9,80.3,40.1,0.1,37,33.6,77.3,1
28.5,83.7,75.5,3.3,68,27.9,84.3,0
23.4,79.0,14.9,1.0,20,23.2,71.0,1
34.8,75.4,46.3,0.8,47,34.9,73.9,1
28.5,83.2,57.0,0.2,50,30.5,85.9,1
35.0,82.6,89.8,23.6,63,35.2,80.9,0
31.7,70.6,14.8,1.0,47,32.0,71.5,1
29.4,98.6,66.6,0.3,84,31.1,98.4,0
31.6,76.7,71.8,0.3,29,34.4,75.8,0
38.8,74.9,88.8,1.3,39,38.8,75.9,0
39.3,71.4,78.9,0.1,34,37.6,65.7,0
30.3,83.8,34.7,0.2,19,28.9,85.4,1
30.7,86.3,85.0,0.4,41,30.5,89.0,0
34.8,79.8,18.7,0.7,38,35.5,81.7,1
26.2,76.7,56.2,0.4,18,25.3,80.7,1
31.5,85.7,57.3,0.6,34,30.3,88.0,1
29.9,86.8,77.2,1.6,69,29.8,90.1,0
31.4,70.3,39.7,0.3,26,31.0,68.4,1
26.2,80.7,38.0,1.6,9,25.7,81.4,1
22.8,93.7,49.5,1.5,48,23.4,95.9,0
20.7,88.6,13.8,1.8,23,21.2,85.5,1
25.0,78.2,24.2,1.9,28,21.6,76.7,1
27.9,77.8,94.4,63.6,51,26.9,74.3,0
28.7,75.6,75.9,7.2,14,29.8,68.4,1
38.7,68.6,67.2,0.5,24,41.0,69.0,0
35.0,70.1,80.5,0.8,16,35.8,75.7,0
25.7,93.2,75.6,0.5,16,23.8,91.1,1
31.6,80.1,44.1,0.0,27,31.5,75.3,1
28.2,82.1,64.2,0.2,11,29.2,77.6,0
28.7,82.4,80.4,0.9,14,30.0,77.8,0
30.8,80.8,83.0,10.7,39,31.8,82.0,0
32.8,83.6,40.2,0.9,61,33.8,81.2,1
28.5,83.7,21.5,0.8,35,30.7,77.0,1
34.8,78.2,77.5,0.8,47,35.9,77.3,0
24.9,82.6,77.2,5.8,75,23.0,80.3,0
30.0,81.3,21.0,9.0,64,27.4,79.7,1
41.7,69.4,19.8,0.2,14,39.7,64.0,1
31.0,74.3,41.4,0.8,45,32.9,69.0,1
36.4,87.0,81.7,0.3,67,37.8,83.5,0
30.4,73.9,66.0,0.7,13,30.0,67.3,1
32.6,81.7,45.8,0.2,35,34.5,91.4,0
29.7,79.9,59.1,0.1,35,27.2,86.8,1
29.2,72.1,37.2,0.1,25,28.7,68.2,1
26.5,78.4,11.9,1.6,30,25.6,80.1,1
31.9,80.8,24.9,0.9,67,32.4,79.9,1
26.2,85.0,77.0,1.0,22,23.4,82.3,1
33.0,75.0,66.4,0.4,22,31.3,73.6,0
34.9,77.8,50.4,1.3,30,34.4,76.2,1
31.6,77.7,25.8,0.1,18,28.7,73.7,1
28.7,83.6,80.7,6.2,19,27.7,77.4,0
32.0,80.3,40.7,1.0,33,33.7,74.4,1
28.6,71.2,51.6,0.3,27,28.7,67.7,0
34.2,78.3,21.2,0.5,35,34.3,80.6,1
